anio,hogar,ingreso,personas_hogar,departamento
2011,2011038944,10730.33,1,1
2011,2011052329,34425.6833333333,2,1
2011,2011033918,15833.3333333333,1,1
2011,2011009377,30344.75,1,1
2011,2011041899,20210.0,2,1
2011,2011029448,21394.8,1,1
2011,2011066470,44117.0,4,1
2011,2011037149,21540.0,2,1
2011,2011010524,8353.75,1,1
2011,2011054566,30216.6666666667,2,1
2011,2011010569,108000.0,4,1
2011,2011053266,12569.21,4,1
2011,2011028103,116942.0,4,1
2011,2011022764,46000.0,1,1
2011,2011022883,17361.0,2,1
2011,2011026469,19316.25,4,1
2011,2011061774,15589.35,1,1
2011,2011047692,58372.5,4,1
2011,2011044716,8600.0,1,1
2011,2011006889,28000.0,1,1
2011,2011029536,40339.92,4,1
2011,2011008797,38000.0,1,1
2011,2011061605,36822.4548744496,4,1
2011,2011050803,15471.28,4,1
2011,2011032672,25675.36,2,1
2011,2011001296,23000.0,1,1
2011,2011052117,47934.25,3,1
2011,2011028668,91189.6,3,1
2011,2011017599,24329.2981598117,4,1
2011,2011004327,333425.11,7,1
2011,2011067773,74603.1666666667,4,1
2011,2011042616,33044.1770553498,5,1
2011,2011009613,52855.97,1,1
2011,2011022304,29700.0,1,1
2011,2011033550,14900.0,2,1
2011,2011035235,12330.5,1,1
2011,2011042503,62135.75,5,1
2011,2011011585,28545.0,1,1
2011,2011007507,119926.08,3,1
2011,2011034328,5330.33,2,1
2011,2011028517,19901.8133333333,4,1
2011,2011054221,19404.5,2,1
2011,2011069956,44448.7,3,1
2011,2011055705,101870.25,3,1
2011,2011015853,11088.0,2,1
2011,2011019442,43894.8,2,1
2011,2011043960,14854.35,1,1
2011,2011047403,9865.53,4,1
2011,2011060813,27012.48,3,1
2011,2011049284,11509.8,3,1
2011,2011027282,22250.72,2,1
2011,2011004341,20000.0,1,1
2011,2011025085,15830.33,1,1
2011,2011047283,15167.4,1,1
2011,2011007730,35354.35,2,1
2011,2011004953,12144.0,2,1
2011,2011055557,50000.0,1,1
2011,2011034893,13344.4821156968,5,1
2011,2011032949,25334.8,2,1
2011,2011003194,5798.0,1,1
2011,2011027566,12631.35,2,1
2011,2011005151,20000.0,2,1
2011,2011049825,42733.75,2,1
2011,2011039012,69689.5,3,1
2011,2011070718,24002.2,4,1
2011,2011067303,24411.0,2,1
2011,2011044165,54155.97,1,1
2011,2011060801,53033.44,3,1
2011,2011069653,40347.5,3,1
2011,2011012545,33394.8,1,1
2011,2011016764,22000.0,1,1
2011,2011031411,9367.4,1,1
2011,2011027181,9666.4,1,1
2011,2011027638,50423.5,2,1
2011,2011028649,52000.0,2,1
2011,2011067770,4767.0,1,1
2011,2011035854,77561.0,3,1
2011,2011038661,22947.5,3,1
2011,2011049064,27510.83,3,1
2011,2011005003,16480.0,1,1
2011,2011051886,13794.8,2,1
2011,2011061568,11206.22,2,1
2011,2011034825,37034.25,4,1
2011,2011043480,18130.5,1,1
2011,2011036793,46409.4,6,1
2011,2011065273,34844.75,3,1
2011,2011012064,120729.716666667,4,1
2011,2011026274,7250.0,2,1
2011,2011069582,72373.75,2,1
2011,2011047207,68296.85,5,1
2011,2011011702,27122.6170553498,5,1
2011,2011042700,21064.36,2,1
2011,2011026021,46969.6,4,1
2011,2011001196,37689.5,2,1
2011,2011061007,25502.5,2,1
2011,2011014427,35391.5,4,1
2011,2011028106,51167.4,2,1
2011,2011033906,88333.3333333333,1,1
2011,2011069884,28991.5,3,1
2011,2011030799,45344.75,2,1
2011,2011020467,20000.0,2,1
2011,2011019231,25584.1666666667,1,1
2011,2011022753,8475.11,2,1
2011,2011054955,33141.0,4,1
2011,2011043901,20348.23,1,1
2011,2011029716,31915.36,1,1
2011,2011042604,69063.05,3,1
2011,2011069807,19365.1966666667,2,1
2011,2011018183,42068.5,2,1
2011,2011043846,157137.0,5,1
2011,2011045976,13600.33,2,1
2011,2011021359,20332.75,3,1
2011,2011030617,152007.4,1,1
2011,2011008230,56234.2,3,1
2011,2011058731,16081.5633333333,3,1
2011,2011005369,34330.5,1,1
2011,2011044225,28982.24,4,1
2011,2011006100,722689.5,5,1
2011,2011064969,11093.11,1,1
2011,2011046245,42334.78,1,1
2011,2011038870,19904.5,3,1
2011,2011027741,23867.4,2,1
2011,2011040151,52001.8333333333,1,1
2011,2011067760,51606.3557744012,8,1
2011,2011021070,19900.0,2,1
2011,2011063919,57417.4,4,1
2011,2011040047,16189.5,2,1
2011,2011001737,31000.0,1,1
2011,2011056388,39679.0,4,1
2011,2011069523,57770.22,3,1
2011,2011053920,16000.0,1,1
2011,2011031767,12028.09,1,1
2011,2011064039,13709.88,4,1
2011,2011035370,41887.5,2,1
2011,2011039142,12051.0,1,1
2011,2011010644,11927.0,1,1
2011,2011043614,14397.0,3,1
2011,2011034585,31900.0,2,1
2011,2011032336,30169.6,4,1
2011,2011040629,152002.083333333,3,1
2011,2011022855,19699.2270553498,5,1
2011,2011023061,56367.4,1,1
2011,2011064237,18667.4,2,1
2011,2011056014,24075.0,4,2
2011,2011049328,25730.5,2,2
2011,2011002348,10790.13,3,2
2011,2011029528,20235.8481598117,4,2
2011,2011014045,25154.9781598117,5,2
2011,2011027019,35712.44,4,2
2011,2011007760,25107.9932201588,4,2
2011,2011036219,47056.94,5,2
2011,2011035792,13241.6,3,2
2011,2011033891,15380.4481598117,4,2
2011,2011020861,34293.6,4,3
2011,2011028791,34225.39,3,3
2011,2011015254,26318.72,3,3
2011,2011015575,16910.26,1,3
2011,2011008096,30916.0770553498,5,3
2011,2011006370,35999.65,5,3
2011,2011022311,30227.6081598117,4,3
2011,2011047953,52216.1703886831,13,3
2011,2011031500,20984.08,4,3
2011,2011009670,48115.2366666667,4,3
2011,2011014334,29666.27,4,3
2011,2011032330,36606.81,5,3
2011,2011047377,21667.36,4,3
2011,2011051768,36567.34,1,3
2011,2011011473,31137.36,4,3
2011,2011055144,6582.39,1,3
2011,2011023322,21700.4,3,3
2011,2011029481,34961.6,2,3
2011,2011019176,34100.26,2,3
2011,2011038110,26126.3381598117,4,3
2011,2011018774,36975.1266666667,2,3
2011,2011029709,8000.0,1,3
2011,2011027290,15445.0833333333,2,3
2011,2011048070,11409.36,2,3
2011,2011057680,34264.7466666667,4,3
2011,2011020314,8110.0,1,3
2011,2011030205,7876.33,2,3
2011,2011000954,24603.71,3,3
2011,2011037785,13757.92,2,3
2011,2011043629,24309.36,1,3
2011,2011017067,70117.4666666667,3,3
2011,2011027179,47737.44,4,3
2011,2011007245,46464.38,2,3
2011,2011035905,15318.72,2,3
2011,2011041094,3340.0,1,3
2011,2011015198,22503.3796539686,6,3
2011,2011024657,18735.0,2,3
2011,2011024677,18545.5,4,3
2011,2011009833,124150.966666667,5,3
2011,2011065298,3500.0,1,3
2011,2011051257,13093.0,3,3
2011,2011050997,10228.0,1,3
2011,2011066343,19318.72,3,3
2011,2011043906,10000.0,1,3
2011,2011015125,25450.13,2,3
2011,2011021105,4700.0,1,3
2011,2011038264,19400.26,2,3
2011,2011059482,26630.5,1,3
2011,2011070533,34906.8808347482,6,3
2011,2011037226,8600.0,1,3
2011,2011051638,31488.08,5,3
2011,2011058541,22025.44,4,3
2011,2011052681,4200.0,1,3
